Date,Hour,Temperature(째C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(째C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
03/11/2018,14,18.1,24,2.4,1594,-2.8,1.97,0.0,0.0,Autumn,No Holiday,No,1290.9663143072426
03/11/2018,15,18.5,25,1.6,1724,-1.9,1.63,0.0,0.0,Autumn,No Holiday,No,1387.5539881865132
03/11/2018,16,18.7,25,2.1,1605,-1.7,1.07,0.0,0.0,Autumn,No Holiday,No,1595.5906573112704
03/11/2018,17,16.7,45,2.2,772,4.6,0.43,0.0,0.0,,No Holiday,No,1387.803609347367
03/11/2018,18,14.2,51,1.5,990,4.1,0.02,0.0,0.0,Autumn,No Holiday,No,1828.7570365455028
03/11/2018,19,13.4,62,,740,6.2,0.0,0.0,0.0,Autumn,No Holiday,No,1243.549154689061
03/11/2018,20,12.1,68,0.8,592,6.3,0.0,0.0,0.0,Autumn,No Holiday,No,972.8137523105502
03/11/2018,21,11.1,69,,619,5.6,0.0,0.0,0.0,Autumn,No Holiday,No,898.4016305742283
03/11/2018,22,10.0,68,1.1,791,4.3,0.0,0.0,0.0,Autumn,No Holiday,No,672.4614251310295
03/11/2018,23,9.2,65,1.2,1064,2.9,0.0,0.0,0.0,Autumn,No Holiday,No,567.1640569929494
04/11/2018,0,9.1,63,0.6,1292,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,606.3153047618852
04/11/2018,1,8.6,60,1.1,1416,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,458.2214713233696
04/11/2018,2,8.2,62,0.2,1415,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,331.75703650169
04/11/2018,3,,66,,1432,1.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,226.84897342105177
04/11/2018,4,,70,1.5,1314,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,145.36920246147562
04/11/2018,5,6.6,73,0.3,1219,2.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,155.06700473968846
04/11/2018,6,6.2,73,0.3,1018,1.7,0.0,0.0,0.0,,No Holiday,Yes,312.22663852674634
04/11/2018,7,5.8,79,1.0,862,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,507.105774913794
04/11/2018,8,5.7,78,1.1,714,2.1,0.09,0.0,0.0,Autumn,No Holiday,Yes,686.9756034133662
04/11/2018,9,7.5,60,0.5,725,0.2,0.79,0.0,0.0,Autumn,No Holiday,Yes,731.1649232937067
04/11/2018,10,11.1,51,0.8,679,1.3,1.38,0.0,0.0,Autumn,No Holiday,Yes,745.3640852258847
04/11/2018,11,,46,2.0,768,3.2,1.83,0.0,0.0,Autumn,No Holiday,Yes,480.66530589591525
04/11/2018,12,16.3,33,2.9,1530,0.0,2.13,0.0,0.0,,No Holiday,Yes,700.9093701172822
04/11/2018,13,18.3,26,1.2,1503,-1.5,2.17,0.0,0.0,Autumn,No Holiday,Yes,1102.8702201634528
04/11/2018,14,19.3,28,1.7,1208,0.3,1.93,0.0,0.0,Autumn,No Holiday,Yes,1339.448373583411
04/11/2018,15,19.0,25,2.1,1748,-1.5,1.6,0.0,0.0,Autumn,No Holiday,Yes,1319.38197278067
04/11/2018,16,18.4,25,3.2,1909,-2.0,1.05,0.0,0.0,Autumn,No Holiday,Yes,1359.7454682285468
04/11/2018,17,16.9,33,2.2,1972,0.5,0.43,0.0,0.0,Autumn,No Holiday,Yes,1587.4915439494116
04/11/2018,18,14.5,46,2.6,1618,3.0,0.01,0.0,0.0,Autumn,No Holiday,Yes,1865.1808384472793
04/11/2018,19,12.9,56,2.5,1345,4.3,0.0,0.0,0.0,,No Holiday,Yes,1274.4648260819972
04/11/2018,20,12.7,59,1.2,1177,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1206.0185023150268
04/11/2018,21,,62,0.7,1030,4.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1012.9445635693239
04/11/2018,22,11.2,67,1.3,940,5.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,874.1501032223454
04/11/2018,23,10.6,73,1.3,931,5.9,0.0,0.0,0.0,,No Holiday,Yes,601.0368250907954
05/11/2018,0,10.1,75,0.0,922,5.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,637.1434398729932
05/11/2018,1,9.3,78,0.1,828,5.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,528.9044757423922
05/11/2018,2,8.8,81,0.0,773,5.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,324.5354640862115
05/11/2018,3,8.3,81,1.1,642,5.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,187.1784977890215
05/11/2018,4,8.0,81,0.4,666,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,162.89060502034056
05/11/2018,5,,84,0.7,569,5.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,140.9378104732905
05/11/2018,6,7.2,83,0.8,636,4.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,260.3547566234006
05/11/2018,7,7.0,86,1.1,455,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,380.993032135559
05/11/2018,8,,80,0.8,515,3.9,0.13,0.0,0.0,Autumn,No Holiday,Yes,861.3649737988413
05/11/2018,9,8.9,67,1.1,578,3.0,0.69,0.0,0.0,Autumn,No Holiday,Yes,827.7108668968489
05/11/2018,10,11.8,59,0.9,616,4.0,1.23,0.0,0.0,Autumn,No Holiday,Yes,605.056155484016
05/11/2018,11,13.8,47,1.2,994,2.6,1.71,0.0,0.0,Autumn,No Holiday,Yes,839.4633695401519
05/11/2018,12,16.4,48,2.1,653,5.3,1.68,0.0,0.0,Autumn,No Holiday,Yes,853.3638994182321
05/11/2018,13,16.8,46,1.1,760,5.0,1.71,0.0,0.0,Autumn,No Holiday,Yes,942.0333146332715
05/11/2018,14,17.5,38,1.2,1090,3.0,1.74,0.0,0.0,Autumn,No Holiday,Yes,845.7030643001724
05/11/2018,15,,39,1.0,1208,3.8,1.21,0.0,0.0,Autumn,No Holiday,Yes,546.8634759537997
05/11/2018,16,16.8,46,1.8,1041,5.0,0.72,0.0,0.0,Autumn,No Holiday,Yes,1198.9911482868263
05/11/2018,17,15.7,49,2.0,1252,5.0,0.26,0.0,0.0,Autumn,No Holiday,Yes,1370.787497452741
05/11/2018,18,14.5,54,1.3,1343,5.2,0.01,0.0,0.0,Autumn,No Holiday,Yes,1733.9135410987267
05/11/2018,19,13.2,66,1.7,705,6.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1138.088129819953
05/11/2018,20,12.7,75,2.0,433,8.3,0.0,0.0,0.0,,No Holiday,Yes,907.9761206059
05/11/2018,21,12.2,79,1.8,351,8.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,959.7364943832011
05/11/2018,22,11.6,81,1.2,336,8.4,0.0,0.0,0.0,,No Holiday,Yes,805.938868704242
05/11/2018,23,10.9,82,0.1,346,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,631.1241278533698
06/11/2018,0,10.0,73,0.5,700,5.3,0.0,0.0,0.0,Autumn,No Holiday,No,612.6893628710259
06/11/2018,1,9.8,75,0.5,668,5.5,0.0,0.0,0.0,Autumn,No Holiday,No,493.30856038737886
06/11/2018,2,9.7,78,0.0,619,6.0,0.0,0.0,0.0,Autumn,No Holiday,No,325.96510435828696
06/11/2018,3,,81,0.3,500,6.2,0.0,0.0,0.0,,No Holiday,No,182.80557489071927
06/11/2018,4,9.1,81,0.0,493,6.0,0.0,0.0,0.0,Autumn,No Holiday,No,161.9989869766049
06/11/2018,5,8.8,84,0.6,420,6.2,0.0,0.0,0.0,Autumn,No Holiday,No,127.68221439153868
06/11/2018,6,8.5,83,0.7,409,5.7,0.0,0.0,0.0,Autumn,No Holiday,No,260.05478135408737
06/11/2018,7,8.3,84,0.9,422,5.7,0.0,0.0,0.0,Autumn,No Holiday,No,653.9716965336895
06/11/2018,8,8.7,77,0.7,529,4.8,0.11,0.0,0.0,,No Holiday,No,1300.42956775297
06/11/2018,9,10.1,68,0.2,578,4.4,0.33,0.0,0.0,Autumn,No Holiday,No,806.4076497392045
06/11/2018,10,11.7,62,0.5,521,4.6,0.77,0.0,0.0,Autumn,No Holiday,No,568.6108544518908
06/11/2018,11,13.0,55,1.0,488,4.1,0.84,0.0,0.0,Autumn,No Holiday,No,632.0885243159531
06/11/2018,12,14.5,57,0.8,373,6.0,1.08,0.0,0.0,Autumn,No Holiday,No,639.6865394682095
06/11/2018,13,,56,1.7,328,7.3,1.54,0.0,0.0,Autumn,No Holiday,No,599.4133419906059
06/11/2018,14,17.4,50,,336,6.8,1.52,0.0,0.0,Autumn,No Holiday,No,989.061946237209
06/11/2018,15,,54,1.6,374,6.9,0.76,0.0,0.0,Autumn,No Holiday,No,589.0184149353425
06/11/2018,16,,55,1.3,334,7.5,0.66,0.0,0.0,Autumn,No Holiday,No,658.8556649744665
06/11/2018,17,15.3,63,1.2,260,8.2,0.23,0.0,0.0,,No Holiday,No,1361.8927689463264
06/11/2018,18,14.0,71,1.5,201,8.8,0.01,0.0,0.0,Autumn,No Holiday,No,1475.6482614873278
06/11/2018,19,,72,1.1,234,8.3,0.0,0.0,0.0,Autumn,No Holiday,No,905.3816615637454
06/11/2018,20,13.2,73,,246,8.4,0.0,0.0,0.0,Autumn,No Holiday,No,1074.9233554789628
06/11/2018,21,13.0,76,0.9,231,8.8,0.0,0.0,0.0,Autumn,No Holiday,No,1090.1706612221099
06/11/2018,22,12.3,73,1.2,277,7.5,0.0,0.0,0.0,Autumn,No Holiday,No,973.299482894683
06/11/2018,23,12.2,74,1.1,291,7.6,0.0,0.0,0.0,Autumn,No Holiday,No,706.0260238124699
07/11/2018,0,11.9,74,1.6,287,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,538.3607159967411
07/11/2018,1,11.9,76,1.4,286,7.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,451.3295515334438
07/11/2018,2,12.0,81,1.3,295,8.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,266.01038838413695
07/11/2018,3,10.8,88,1.0,145,8.8,0.0,0.5,0.0,Autumn,No Holiday,Yes,134.7363303714448
07/11/2018,4,10.6,95,0.7,94,9.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,119.98891786465649
07/11/2018,5,11.1,95,0.2,117,10.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,90.45590241222872
07/11/2018,6,11.0,91,1.0,124,9.5,0.0,1.0,0.0,Autumn,No Holiday,Yes,73.20053228607662
07/11/2018,7,,91,,216,9.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,258.8683413853597
07/11/2018,8,11.3,89,1.1,279,9.5,0.01,0.0,0.0,Autumn,No Holiday,Yes,463.7267838216364
07/11/2018,9,,86,1.0,372,8.9,0.09,0.5,0.0,Autumn,No Holiday,Yes,171.6292311030305
07/11/2018,10,11.9,84,,482,9.2,0.2,0.0,0.0,Autumn,No Holiday,Yes,470.69419372087424
07/11/2018,11,12.4,82,0.6,507,9.4,0.34,0.0,0.0,Autumn,No Holiday,Yes,328.3534603702579
07/11/2018,12,13.2,77,,589,9.2,0.5,0.0,0.0,Autumn,No Holiday,Yes,804.5222997075812
07/11/2018,13,,74,1.3,610,9.9,0.75,0.0,0.0,,No Holiday,Yes,477.239883706271
07/11/2018,14,,68,1.4,693,9.6,1.15,0.0,0.0,Autumn,No Holiday,Yes,607.4360185539781
07/11/2018,15,15.4,72,1.1,608,10.3,0.57,0.0,0.0,Autumn,No Holiday,Yes,807.7627909521184
07/11/2018,16,15.2,72,1.2,625,10.1,0.4,0.0,0.0,Autumn,No Holiday,Yes,869.4833393939035
07/11/2018,17,14.9,73,,854,10.0,0.04,0.0,0.0,Autumn,No Holiday,Yes,1290.254466025785
07/11/2018,18,14.4,77,1.0,912,10.4,0.0,0.0,0.0,,No Holiday,Yes,1622.2633053881639
07/11/2018,19,13.8,81,1.5,760,10.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,1024.509275395105
07/11/2018,20,13.3,77,1.6,833,9.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1086.8303472524735
07/11/2018,21,13.5,75,0.8,1275,9.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1040.870864552752
07/11/2018,22,13.2,74,1.4,1407,8.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1027.0169990004815
07/11/2018,23,12.9,72,1.4,2000,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,797.0828530802595
08/11/2018,0,12.9,70,1.8,2000,7.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,436.47228302431796
08/11/2018,1,11.9,77,1.1,1634,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,475.5016293558139
08/11/2018,2,11.8,84,1.6,1874,9.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,325.14299114803333
08/11/2018,3,11.8,86,1.6,1819,9.5,0.0,0.5,0.0,Autumn,No Holiday,Yes,70.189769378565
08/11/2018,4,10.8,87,1.7,956,8.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,114.16525964069068
08/11/2018,5,,89,1.6,957,9.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,97.83571995961553
08/11/2018,6,10.6,90,1.6,1065,9.0,0.0,1.5,0.0,Autumn,No Holiday,Yes,68.19446287042686
08/11/2018,7,10.9,88,1.8,1866,8.9,0.0,0.0,0.0,,No Holiday,Yes,359.6704526805005
08/11/2018,8,10.6,89,1.5,689,8.8,0.02,0.0,0.0,Autumn,No Holiday,Yes,506.5836528794813
08/11/2018,9,,94,,739,9.6,0.06,2.0,0.0,Autumn,No Holiday,Yes,86.99279739076273
08/11/2018,10,10.8,94,1.8,578,9.8,0.15,0.0,0.0,Autumn,No Holiday,Yes,133.97585575332613
08/11/2018,11,10.9,95,2.4,519,10.1,0.12,0.0,0.0,Autumn,No Holiday,Yes,88.59174760546273
08/11/2018,12,11.4,95,2.5,792,10.6,0.44,5.5,0.0,Autumn,No Holiday,Yes,-11.412101841041546
08/11/2018,13,11.5,95,,457,10.7,0.32,0.0,0.0,Autumn,No Holiday,Yes,177.99894105757633
08/11/2018,14,11.3,96,2.7,302,10.6,0.11,0.0,0.0,Autumn,No Holiday,Yes,186.66979683016035
08/11/2018,15,11.4,96,2.0,910,10.7,0.07,9.5,0.0,Autumn,No Holiday,Yes,-33.76062945945339
08/11/2018,16,11.7,96,1.4,587,11.0,0.02,0.0,0.0,,No Holiday,Yes,205.18959100752704
08/11/2018,17,11.9,97,0.7,269,11.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,357.0915589945583
08/11/2018,18,12.9,97,0.0,406,12.4,0.0,9.0,0.0,Autumn,No Holiday,Yes,151.62979714943089
08/11/2018,19,12.8,97,0.9,245,12.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,531.6820092430078
08/11/2018,20,13.9,97,2.5,594,13.4,0.0,0.0,0.0,,No Holiday,Yes,607.3091265156235
08/11/2018,21,,96,4.1,292,13.3,0.0,18.0,0.0,Autumn,No Holiday,Yes,97.72788764657436
08/11/2018,22,12.4,96,2.7,545,11.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,370.5492780290567
08/11/2018,23,11.5,96,,691,10.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,246.48030140834103
09/11/2018,0,12.0,96,3.1,1185,11.3,0.0,18.0,0.0,Autumn,No Holiday,No,84.90260130049148
09/11/2018,1,11.4,89,2.6,1376,9.6,0.0,0.0,0.0,Autumn,No Holiday,No,309.29471582865216
09/11/2018,2,11.3,88,3.7,1680,9.3,0.0,0.0,0.0,Autumn,No Holiday,No,250.64070211426983
09/11/2018,3,10.8,82,2.8,1712,7.8,0.0,0.5,0.0,Autumn,No Holiday,No,93.60863999886166
09/11/2018,4,10.6,75,3.2,913,6.3,0.0,0.0,0.0,Autumn,No Holiday,No,167.4528156812776
09/11/2018,5,10.9,68,3.1,1034,5.2,0.0,0.0,0.0,Autumn,No Holiday,No,135.91119788214968
09/11/2018,6,11.0,70,3.1,900,5.7,0.0,0.0,0.0,Autumn,No Holiday,No,296.544216926858
09/11/2018,7,10.4,81,3.0,1741,7.2,0.0,0.0,0.0,Autumn,No Holiday,No,576.794924683878
09/11/2018,8,10.1,85,2.4,1809,7.6,0.05,0.0,0.0,Autumn,No Holiday,No,771.3629006971552
09/11/2018,9,10.8,78,2.6,1985,7.1,0.13,0.5,0.0,Autumn,No Holiday,No,456.3156813343338
09/11/2018,10,11.3,68,4.7,1984,5.5,0.44,0.0,0.0,Autumn,No Holiday,No,603.6896101571006
09/11/2018,11,13.3,59,4.1,1970,5.4,1.43,0.0,0.0,Autumn,No Holiday,No,613.7965644888452
09/11/2018,12,13.9,50,4.1,1964,3.6,2.14,0.0,0.0,,No Holiday,No,637.4933948394552
09/11/2018,13,14.0,46,5.3,927,2.5,1.68,0.0,0.0,Autumn,No Holiday,No,884.1386125192794
09/11/2018,14,15.0,49,2.8,518,4.3,1.53,0.0,0.0,Autumn,No Holiday,No,910.3067254617755
09/11/2018,15,15.1,52,3.4,622,5.3,1.3,0.0,0.0,,No Holiday,No,741.882626836073
09/11/2018,16,14.3,59,3.6,858,6.3,0.72,0.0,0.0,Autumn,No Holiday,No,808.7953567805569
09/11/2018,17,,66,3.6,682,6.6,0.32,0.0,0.0,,No Holiday,No,720.2318329657273
09/11/2018,18,12.3,69,2.1,623,6.7,0.01,0.0,0.0,Autumn,No Holiday,No,1403.829397854114
09/11/2018,19,11.9,71,2.7,589,6.7,0.0,0.0,0.0,Autumn,No Holiday,No,886.7046641688208
09/11/2018,20,11.9,72,2.5,526,7.0,0.0,0.0,0.0,Autumn,No Holiday,No,810.4986895054938
09/11/2018,21,11.4,74,1.9,498,6.9,0.0,0.0,0.0,Autumn,No Holiday,No,788.9312684043833
09/11/2018,22,11.2,75,,478,6.9,0.0,0.0,0.0,Autumn,No Holiday,No,774.1022517740239
09/11/2018,23,10.9,76,1.2,456,6.8,0.0,0.0,0.0,,No Holiday,No,623.8537106497239
10/11/2018,0,,77,0.9,433,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,586.9617741741007
10/11/2018,1,,78,1.1,467,7.4,0.0,0.0,0.0,,No Holiday,Yes,437.35239400414497
10/11/2018,2,10.7,80,0.6,409,7.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,338.7650403052254
10/11/2018,3,10.3,81,0.7,361,7.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,212.58444840617844
10/11/2018,4,9.5,87,0.6,266,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,162.63024057937028
10/11/2018,5,9.4,87,0.8,279,7.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,155.5960657269111
10/11/2018,6,9.5,85,0.6,304,7.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,306.504835423366
10/11/2018,7,,86,,293,7.2,0.0,0.0,0.0,,No Holiday,Yes,355.6367566362135
10/11/2018,8,9.3,85,0.3,313,6.9,0.07,0.0,0.0,Autumn,No Holiday,Yes,826.296395069346
10/11/2018,9,10.1,77,0.0,350,6.2,0.45,0.0,0.0,Autumn,No Holiday,Yes,972.9802426112682
10/11/2018,10,12.2,73,1.9,374,7.4,0.92,0.0,0.0,Autumn,No Holiday,Yes,676.0015469627682
10/11/2018,11,13.8,63,2.2,416,6.8,1.32,0.0,0.0,Autumn,No Holiday,Yes,666.1181688621089
10/11/2018,12,15.1,54,2.2,495,5.8,1.91,0.0,0.0,Autumn,No Holiday,Yes,821.509299918943
10/11/2018,13,15.9,48,2.7,538,4.8,1.87,0.0,0.0,Autumn,No Holiday,Yes,910.0129929799576
10/11/2018,14,,39,2.0,781,3.0,1.85,0.0,0.0,Autumn,No Holiday,Yes,654.7872054560347
10/11/2018,15,16.6,36,2.5,808,1.4,1.45,0.0,0.0,Autumn,No Holiday,Yes,1113.1604625173723
10/11/2018,16,16.0,37,1.9,984,1.2,0.94,0.0,0.0,Autumn,No Holiday,Yes,1175.3100648754084
